sample	unit	run_accession	platform	library_layout	fq1	fq2
C4	1	ERR9791574	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791574_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791574_2.fastq.gz
C2	1	ERR9791572	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791572_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791572_2.fastq.gz
C5	1	ERR9791575	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791575_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791575_2.fastq.gz
C3	1	ERR9791573	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791573_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791573_2.fastq.gz
C10	1	ERR9791579	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791579_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791579_2.fastq.gz
C6	1	ERR9791576	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791576_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791576_2.fastq.gz
C11	1	ERR9791580	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791580_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791580_2.fastq.gz
C7	1	ERR9791577	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791577_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791577_2.fastq.gz
C12	1	ERR9791581	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791581_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791581_2.fastq.gz
C8	1	ERR9791578	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791578_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791578_2.fastq.gz
C14	1	ERR9791583	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791583_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791583_2.fastq.gz
C21	1	ERR9791590	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791590_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791590_2.fastq.gz
C15	1	ERR9791584	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791584_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791584_2.fastq.gz
C23	1	ERR9791592	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791592_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791592_2.fastq.gz
C17	1	ERR9791586	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791586_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791586_2.fastq.gz
C1	1	ERR9791571	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791571_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791571_2.fastq.gz
C24	1	ERR9791593	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791593_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791593_2.fastq.gz
C18	1	ERR9791587	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791587_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791587_2.fastq.gz
C26	1	ERR9791595	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791595_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791595_2.fastq.gz
C13	1	ERR9791582	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791582_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791582_2.fastq.gz
C20	1	ERR9791589	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791589_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791589_2.fastq.gz
C27	1	ERR9791596	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791596_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791596_2.fastq.gz
C16	1	ERR9791585	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791585_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791585_2.fastq.gz
C30	1	ERR9791599	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791599_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791599_2.fastq.gz
C19	1	ERR9791588	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791588_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791588_2.fastq.gz
C28	1	ERR9791597	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791597_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791597_2.fastq.gz
C31	1	ERR9791600	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791600_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791600_2.fastq.gz
C22	1	ERR9791591	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791591_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791591_2.fastq.gz
C33	1	ERR9791602	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791602_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791602_2.fastq.gz
C38	1	ERR9791607	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791607_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791607_2.fastq.gz
